BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"বাসনাবিস্তারী মহারোদ","প্রদীপ কর","TK. 200","TK. 176"
"গণদেবতা","তারাশঙ্কর বন্দ্যোপাধ্যায়","TK. 325","TK. 228"
"আমি কবি নই শব্দ শ্রমিক","সোলায়মান শিপন","TK. 300","TK. 255"
"ঘুঘু","রওশন আরা মুক্তা","TK. 175","TK. 154"
"মানচিত্র","তিমির ভেদী","TK. 180","TK. 126"
"যোগাযোগ","রবীন্দ্রনাথ ঠাকুর","TK. 350","TK. 298"
"আমরা এক গল্পের শহরে থাকি","তুষার আবদুল্লাহ্","TK. 250","TK. 213"
"সোনালি নৈঃশব্দ্যের হরিণাবলি","অনিরুদ্ধ আলম","TK. 200","TK. 176"
"দূরত্বের এপাশ ওপাশ","শতাব্দী জাহিদ","TK. 280","TK. 238"
"হৃদয়ের একূল ওকূল","তাজুল মোহাম্মদ","TK. 250","TK. 213"
"কাজী মোতাহার হোসেন মুক্তজ্ঞানের প্রবাদপুরুষ (১২০তম জন্মবর্ষের শ্রদ্ধার্ঘ্য)","আবুল আহসান চৌধুরী","TK. 400","TK. 340"
"ভাষা সাহিত্য ও সংস্কৃতি","ড. মুহাম্মদ জমির হোসেন","TK. 400","TK. 300"
"এক পয়সার সলতে জীবন","বিপিন বিশ্বাস","TK. 130","TK. 114"
"বন পাহাড়ের দেশে","কাজল মালেক","TK. 200","TK. 156"
"অনামিলেন","তানভীর মাহমুদ গাজী","TK. 150","TK. 132"
"শেষের গল্প","জসিম উদ্দিন মিসবাহ","TK. 300","TK. 255"
"অ্যাপসগুলি","অমিতাভ পাল","TK. 175","TK. 154"
"সবিতা মঞ্জরি","মোঃ শামছুজ্জামান আশরাফী","TK. 150","TK. 132"
"এসেনশিয়াল ফর লিটল লার্নারস (স্টেপ-১)","ফাহ্‌মিদা হক","TK. 220","TK. 187"
"শীত-বসন্ত","দক্ষিণারঞ্জন মিত্র মজুমদার","TK. 95","TK. 45"
"দিগন্তে মেহেদী বনের ছায়া","রূমানা চৌধুরী","TK. 250","TK. 213"
"শালবনের গান: মন্দাক্রান্তা ছন্দের কবিতা","কামরুন নাহার শীলা","TK. 200","TK. 176"
"বিষাদ-সিন্ধু","মীর মশাররফ হোসেন","TK. 400","TK. 340"
"বাংলা নাথসাহিত্যে শুকুর মাহমুদ","আহম্মদ শরীফ","TK. 450","TK. 383"
"কবি ও কবিতার কথকতা","তুহিন ওয়াদুদ","TK. 220","TK. 187"
"মনোময়","আলী সিদ্দিকী","TK. 250","TK. 213"
"ফার্স্ট বয় সেকেন্ড বয়","এনায়েত রসুল","TK. 220","TK. 187"
"ধলের বাগিচা","দেলোয়ার হোসেন দিলু","TK. 140","TK. 98"
"একাত্তরের বিজয়ফুল","পীরজাদা হোসেন আহমদ","TK. 1,000","TK. 850"
"মাটির সারিন্দা-২","বাংলাদেশ গীতিকবি পরিষদ  ","TK. 200","TK. 140"
"ছন্দকলি","কাজী কামরুন নাহার","TK. 160","TK. 141"
"আমি এমন কেন?","কাজী কামরুন নাহার","TK. 160","TK. 141"
"যাও পাখি বল তারে","আলী আসকর ","TK. 160","TK. 141"
"প্রেমান্তর","আবুল কালাম আজাদ","TK. 120","TK. 106"
"চেতনার চৈতন্য","বিভুল কুমার চৌধুরী","TK. 200","TK. 176"
"রুপালী গাঁয়ের ফুটন্ত কলি","জহির উদ্দিন","TK. 220","TK. 187"
"একাত্তরে দুই কিশোর","সাঈদুল আরেফীন","TK. 160","TK. 141"
"একটি শিশুর ছেলেবেলা","তাওসীফ উল আলম রাব্বী","TK. 160","TK. 141"
"শেখ হাসিনা: জননেত্রী থেকে বিশ্বনেত্রী","মাওলানা এম এ রহমান","TK. 184","TK. 162"
"মুনতাসীর মামুন রচনাবলি ৭","মামুন সিদ্দিকী ","TK. 1,000","TK. 850"
"নির্বাচিত কবিতা","এহতেশাম ছিদ্দিকী","TK. 135","TK. 119"
"নির্বাচিত ১০০ কবিতা","এস. এম. সিরাজুল ইসলাম","TK. 199","TK. 175"
"বিশ্বরাজনীতির এপিঠ ওপিঠ","সাদিকুর সাত্তার আকন্দ","TK. 160","TK. 141"
"একদিন আমরা মানুষ ছিলাম","আমিনুল ইসলাম হুসাইনী","TK. 135","TK. 119"
"তুমিও পারবে","আর. আই. রীপান্ত","TK. 149","TK. 131"
"Atick's Model of Civil Justice","ড. মো. আতিকুস সামাদ (পিএইচডি)","TK. 1,000","TK. 910"
"অনন্ত অভিলাষ","ওয়াজেদা পারভীন পপি","TK. 160","TK. 141"
"মনকাড়া আলোছড়া","মহিউদ্দীন চৌধুরী  ","TK. 120","TK. 106"
"নিষিদ্ধ স্কুলব্যাগ","তৌহিদুল ইসলাম","","TK. 120"
"গুরুগৃহ শিশু পাঠ","অসীম কুমার মৃধা","TK. 150","TK. 132"
"ইংরেজীতে শব্দ বানাও (ইংলিশ)","গুলশান কবীর","TK. 250","TK. 213"
